!SIL 1.0	SIL
<SPOKEN_NOISE> 1.0	SPN
<UNK> 1.0	SPN
看着她	1.0	k aH nnL zh elM elM t aH aH
知道	1.0	zh ibH ibH d aaH oL
石家庄	1.0	sh ibL ibH ji aH aH zhu aaH ngH
砥	1.0	di iL iL
碎	1.0	su ehH iL
碧	1.0	bi iH iL
碧绿	1.0	bi iH iL lv vH vL
社区卫生	1.0	sh elH elL qv vH vH wu ehH iL sh elH ngH
祖	1.0	zu uL uL
祖居	1.0	zu uL uL jv vH vH
神	1.0	sh elL nnH
禅	1.0	ch aL nnH
禅	1.0	sh aH nnL
种了	1.0	zhu uL ngL l elM elM
科威尔	1.0	k elH elH wu ehH iH ge erL erL
科科长	1.0	k elH elH k elH elH zh aaL ngL
秦皇岛	1.0	qi iL nnH hu aaL ngH d aaL oL
积雨	1.0	ji iH iH yv vL vL
移植	1.0	yi iL iH zh ibL ibH
程序	1.0	ch elL ngH xv vH vL
空山	1.0	ku uH ngH sh aH nnH
立	1.0	li iH iL
立誓	1.0	li iH iL sh ibH ibL
站前	1.0	zh aH nnL qi aL nnH
竹子	1.0	zhu uL uH z ifM ifM
竹影	1.0	zhu uL uH yi elL ngL
第二	1.0	di iH iL ge erH erL
第六届	1.0	di iH iL li oH uL ji ehH ehL
等	1.0	d elL ngL
签约	1.0	qi aH nnH yv ehH ehH
管	1.0	gu aL nnL
米原康正	1.0	mi iL iL yv ehL nnH k aaH ngH zh elH ngL
精心	1.0	ji elH ngH xi iH nnH
红楼	1.0	hu uL ngH l oL uH
线	1.0	xi aH nnL
线上	1.0	xi aH nnL sh aaH ngL
经	1.0	ji elH ngH
经	1.0	ji elH ngL
经典	1.0	ji elH ngH di aL nnL
经典老歌	1.0	ji elH ngH di aL nnL l aaL oL g elH elH
结	1.0	ji ehL ehH
结	1.0	ji ehH ehH
绕	1.0	r aaH oL
给	1.0	g ehL iL
给	1.0	ji iL iL
绝对	1.0	jv ehL ehH du ehH iL
续	1.0	xv vH vL
绮丽	1.0	qi iL iL li iH iL
缀	1.0	zhu ehH iL
缨	1.0	yi elH ngH
罗	1.0	lu oL oH
美国大片	1.0	m ehL iL gu oL oH d aH aL pi aH nnL
美芳	1.0	m ehL iL f aaH ngH
群众	1.0	qv elL nnH zhu uH ngL
老乡	1.0	l aaL oL xi aaH ngH
老人	1.0	l aaL oL r elL nnH
老将	1.0	l aaL oL ji aaH ngL
老赵	1.0	l aaL oL zh aaH oL
考究	1.0	k aaL oL ji oH uH
而	1.0	ge erL erH
聊斋	1.0	li aaL oH zh aH ehH
职大	1.0	zh ibL ibH d aH aL
肾	1.0	sh elH nnL
胆	1.0	d aL nnL
胜	1.0	sh elH ngL
胜	1.0	sh elH ngH
胜景	1.0	sh elH ngL ji elL ngL
胡	1.0	hu uL uH
胡军	1.0	hu uL uH jv elH nnH
胡适	1.0	hu uL uH sh ibH ibL
能	1.0	n elL ngH
能	1.0	n aH ehL
脑门	1.0	n aaL oL m elL nnH
脚下	1.0	ji aaL oL xi aH aL
脚底	1.0	ji aaL oL di iL iL
脱下	1.0	tu oH oH xi aH aL
腹	1.0	fu uH uL
腿	1.0	tu ehL iL
臣	1.0	ch elL nnH
自古	1.0	z ifH ifL gu uL uL
至	1.0	zh ibH ibL
航母	1.0	h aaL ngH mu uL uL
节目	1.0	ji ehL ehH mu uH uL
芝麻开门	1.0	zh ibH ibH m aM aM k aH ehH m elL nnH
花鸟鱼虫	1.0	hu aH aH ni aaL oL yv vL vH chu uL ngH
芳草	1.0	f aaH ngH c aaL oL
苏州	1.0	su uH uH zh oH uH
英军	1.0	yi elH ngH jv elH nnH
茂	1.0	m aaH oL
茂密	1.0	m aaH oL mi iH iL
茉莉	1.0	mu uH oL li iH iL
茶褐色	1.0	ch aL aH h elH elL s elH elL
草木	1.0	c aaL oL mu uH uL
荒谬	1.0	hu aaH ngH mi oH uL
荒谬绝伦	1.0	hu aaH ngH mi oH uL jv ehL ehH lu elL nnH
莫	1.0	mu uH oL
菜	1.0	c aH ehL
菜田	1.0	c aH ehL ti aL nnH
萍水相逢	1.0	pi elL ngH shu ehL iL xi aaH ngH f elL ngH
蒋氏	1.0	ji aaL ngL sh ibH ibL
蒿	1.0	h aaH oH
蓝精灵	1.0	l aL nnH ji elH ngH li elL ngH
蓬	1.0	p elL ngH
蔼	1.0	ga aL ehL
薄荷	1.0	bu uH oL h elM elM
蘸	1.0	zh aH nnL
蝗虫	1.0	hu aaL ngH chu uL ngH
蝼蚁	1.0	l oL uH yi iL iL
衣裳	1.0	yi iH iH sh aaM ngM
补	1.0	bu uL uL
表厂	1.0	bi aaL oL ch aaL ngL
表现	1.0	bi aaL oL xi aH nnL
衫裤	1.0	sh aH nnH ku uH uL
袖口	1.0	xi oH uL k oL uL
被	1.0	b ehH iL
被人	1.0	b ehH iL r elL nnH
被子	1.0	b ehH iL z ifM ifM
裤脚	1.0	ku uH uL ji aaL oL
西山区	1.0	xi iH iH sh aH nnH qv vH vH
西湖	1.0	xi iH iH hu uL uH
要做	1.0	yi aaH oL zu oH oL
要像	1.0	yi aaH oL xi aaH ngL
要比	1.0	yi aaH oL bi iL iL
见到	1.0	ji aH nnL d aaH oL
观音庙	1.0	gu aH nnH yi iH nnH mi aaH oL
解闷	1.0	ji ehL ehL m elH nnL
讯	1.0	xv elH nnL
设置	1.0	sh elH elL zh ibH ibL
设计	1.0	sh elH elL ji iH iL
访问	1.0	f aaL ngL wu elH nnL
诉至	1.0	su uH uL zh ibH ibL
译	1.0	yi iH iL
语	1.0	yv vL vL
语	1.0	yv vH vL
语音	1.0	yv vL vL yi iH nnH
说服	1.0	shu oH oH fu uL uH
说法	1.0	shu oH oH f aL aL
说法	1.0	shu oH oH f aM aM
谔	1.0	ge elH elL
财报	1.0	c aL ehH b aaH oL
财物罪	1.0	c aL ehH wu uH uL zu ehH iL
贫嘴	1.0	pi iL nnH zu ehL iL
贵州省	1.0	gu ehH iL zh oH uH sh elL ngL
赫赫	1.0	h elH elL h elH elL
走到	1.0	z oL uL d aaH oL
赵子龙	1.0	zh aaH oL z ifL ifL lu uL ngH
赶到	1.0	g aL nnL d aaH oL
起点	1.0	qi iL iL di aL nnL
超多	1.0	ch aaH oH du oH oH
路口	1.0	lu uH uL k oL uL
踏	1.0	t aH aL
踏	1.0	t aH aH
身亡	1.0	sh elH nnH wu aaL ngH
轩辕	1.0	xv ehH nnH yv ehL nnH
软软	1.0	ru aL nnL ru aL nnL
辞世	1.0	c ifL ifH sh ibH ibL
辣椒酱	1.0	l aH aL ji aaH oH ji aaH ngL
返回	1.0	f aL nnL hu ehL iH
还有	1.0	h aL ehH yi oL uL
这	1.0	zh elH elL
这	1.0	zh ehH iL
这个	1.0	zh elH elL g elM elM
这幅	1.0	zh elH elL fu uL uH
这是	1.0	zh elH elL sh ibH ibL
进	1.0	ji iH nnL
违拗	1.0	wu ehL iH ga aaH oL
迷	1.0	mi iL iH
追逐	1.0	zhu ehH iH zhu uL uH
送	1.0	su uH ngL
送丧	1.0	su uH ngL s aaH ngL
逛	1.0	gu aaH ngL
逮	1.0	d aL ehL
逮	1.0	d aH ehL
逾	1.0	yv vL vH
遍了	1.0	bi aH nnL l elM elM
遥控器	1.0	yi aaL oH ku uH ngL qi iH iL
那么	1.0	n aH aL m elM elM
那样	1.0	n aH aL yi aaH ngL
那段	1.0	n aH aL du aH nnL
邱爱华	1.0	qi oH uH ga aH ehL hu aL aH
邵	1.0	sh aaH oL
邸	1.0	di iL iL
邹	1.0	z oH uH
郁	1.0	yv vH vL
郓城县	1.0	yv elH nnL ch elL ngH xi aH nnL
都把	1.0	d oH uH b aL aL
酒店	1.0	ji oL uL di aH nnL
酥脆	1.0	su uH uH cu ehH iL
酷	1.0	ku uH uL
里诺	1.0	li iL iL nu oH oL
金	1.0	ji iH nnH
金簪	1.0	ji iH nnH z aH nnH
金花	1.0	ji iH nnH hu aH aH
鉴	1.0	ji aH nnL
针线	1.0	zh elH nnH xi aH nnL
铁	1.0	ti ehL ehL
铁算盘	1.0	ti ehL ehL su aH nnL p aL nnH
铁索桥	1.0	ti ehL ehL su oL oL qi aaL oH
铁观音	1.0	ti ehL ehL gu aH nnH yi iH nnH
银	1.0	yi iL nnH
银屏	1.0	yi iL nnH pi elL ngH
锦	1.0	ji iL nnL
镶制	1.0	xi aaH ngH zh ibH ibL
长	1.0	zh aaL ngL
长	1.0	ch aaL ngH
长安	1.0	ch aaL ngH ga aH nnH
长龙	1.0	ch aaL ngH lu uL ngH
门柱	1.0	m elL nnH zhu uH uL
门楼	1.0	m elL nnH l oL uH
阁	1.0	g elL elH
阙	1.0	qv ehH ehH
阙	1.0	qv ehH ehL
队	1.0	du ehH iL
阡	1.0	qi aH nnH
防	1.0	f aaL ngH
阳世	1.0	yi aaL ngH sh ibH ibL
阴曹	1.0	yi iH nnH c aaL oH
阴道	1.0	yi iH nnH d aaH oL
陆	1.0	lu uH uL
陆	1.0	li oH uL
陈	1.0	ch elL nnH
降龙	1.0	ji aaH ngL lu uL ngH
难道	1.0	n aL nnH d aaH oL
雅	1.0	yi aL aL
雪山	1.0	xv ehL ehL sh aH nnH
露出	1.0	lu uH uL chu uH uH
青翠欲滴	1.0	qi elH ngH cu ehH iL yv vH vL di iH iH
青色	1.0	qi elH ngH s elH elL
静谧	1.0	ji elH ngL mi iH iL
静音	1.0	ji elH ngL yi iH nnH
靠前	1.0	k aaH oL qi aL nnH
韦恩	1.0	wu ehL iH ge elH nnH
音量	1.0	yi iH nnH li aaH ngL
页	1.0	yi ehH ehL
顺着	1.0	shu elH nnL zh elM elM
颁赐	1.0	b aH nnH c ifH ifL
频发	1.0	pi iL nnH f aH aH
风光	1.0	f elH ngH gu aaH ngH
飞	1.0	f ehH iH
飞驰	1.0	f ehH iH ch ibL ibH
马赛克	1.0	m aL aL s aH ehL k elH elL
马蹄	1.0	m aL aL ti iL iH
高	1.0	g aaH oH
鬼魂	1.0	gu ehL iL hu elL nnH
魏	1.0	wu ehH iL
鲜卑	1.0	xi aH nnH b ehH iH
鸡	1.0	ji iH iH
鸡皮	1.0	ji iH iH pi iL iH
黄	1.0	hu aaL ngH
黄杨	1.0	hu aaL ngH yi aaL ngH
默默地	1.0	mu uH oL mu uH oL d elM elM
龙	1.0	lu uL ngH
龙井	1.0	lu uL ngH ji elL ngL
龙湖	1.0	lu uL ngH hu uL uH
